"datapass_id","date_reception","date_last_event"
"6047","16/06/2021","16/06/2021"
"6053","16/06/2021","16/06/2021"
"6066","16/06/2021","16/06/2021"
"6078","16/06/2021","17/06/2021"
"6089","17/06/2021","17/06/2021"
"39337","07/09/2022","27/10/2022"
"6136","18/06/2021","18/06/2021"
"6157","21/06/2021","21/06/2021"
"6182","21/06/2021","22/06/2021"
"6185","21/06/2021","22/06/2021"
"6187","21/06/2021","22/06/2021"
"6188","21/06/2021","22/06/2021"
"6189","21/06/2021","22/06/2021"
"6190","21/06/2021","22/06/2021"
"6193","21/06/2021","22/06/2021"
"6194","21/06/2021","22/06/2021"
"6195","21/06/2021","22/06/2021"
"6201","21/06/2021","22/06/2021"
"6399","30/06/2021","30/06/2021"
"6487","02/07/2021","06/07/2021"
"6490","09/09/2021","15/09/2021"
"6518","05/07/2021","13/08/2021"
"6521","05/07/2021","13/08/2021"
"6523","05/07/2021","13/08/2021"
"6526","05/07/2021","13/08/2021"
"6562","06/07/2021","10/12/2021"
"6566","06/07/2021","07/07/2021"
"36894","28/07/2022","10/11/2022"
"3157","03/02/2021","04/02/2021"
"6572","06/07/2021","24/08/2021"
"6581","06/07/2021","11/10/2021"
"6584","06/07/2021","11/10/2021"
"6647","08/07/2021","08/07/2021"
"6648","08/07/2021","06/09/2021"
"6718","23/07/2021","29/09/2021"
"6740","13/07/2021","13/07/2021"
"6783","13/07/2021","13/07/2021"
"6906","20/07/2021","21/09/2021"
"2654","10/11/2020","12/11/2020"
"5617","01/06/2021","14/06/2021"
"7170","15/10/2021","16/11/2021"
"7354","20/08/2021","24/08/2021"
"7355","20/08/2021","24/08/2021"
"7358","20/08/2021","24/08/2021"
"7359","20/08/2021","24/08/2021"
"7360","20/08/2021","24/08/2021"
"7361","20/08/2021","24/08/2021"
"7365","20/08/2021","24/08/2021"
"7366","20/08/2021","24/08/2021"
"7368","20/08/2021","24/08/2021"
"7371","20/08/2021","24/08/2021"
"7372","20/08/2021","24/08/2021"
"7477","27/08/2021","27/08/2021"
"7526","30/08/2021","30/08/2021"
"6232","22/06/2021","24/06/2021"
"3365","05/03/2021","05/03/2021"
"7534","30/08/2021","07/09/2021"
"7588","01/09/2021","19/10/2021"
"7590","01/09/2021","19/10/2021"
"7591","01/09/2021","19/10/2021"
"7648","03/09/2021","15/10/2021"
"4498","21/04/2021","21/04/2021"
"7663","03/09/2021","02/12/2021"
"5086","07/05/2021","07/05/2021"
"4522","21/04/2021","21/04/2021"
"3447","18/03/2021","10/06/2021"
"3773","26/03/2021","02/04/2021"
"3172","04/02/2021","05/02/2021"
"5538","26/05/2021","27/05/2021"
"7826","09/09/2021","16/09/2021"
"7832","09/09/2021","16/09/2021"
"7963","13/09/2021","16/09/2021"
"33696","16/06/2022","07/10/2022"
"8079","16/09/2021","18/10/2021"
"8105","16/09/2021","17/09/2021"
"8106","16/09/2021","18/10/2021"
"8112","16/09/2021","18/10/2021"
"8117","16/09/2021","18/10/2021"
"8120","16/09/2021","18/10/2021"
"8123","16/09/2021","18/10/2021"
"8128","16/09/2021","18/10/2021"
"8130","16/09/2021","18/10/2021"
"8132","16/09/2021","18/10/2021"
"8135","16/09/2021","19/10/2021"
"8140","16/09/2021","19/10/2021"
"8173","17/09/2021","27/01/2022"
"8197","17/09/2021","19/10/2021"
"8198","17/09/2021","19/10/2021"
"8199","17/09/2021","19/10/2021"
"8200","17/09/2021","19/10/2021"
"8201","17/09/2021","19/10/2021"
"8208","19/09/2021","19/10/2021"
"8213","19/09/2021","19/10/2021"
"8214","19/09/2021","19/10/2021"
"8215","19/09/2021","19/10/2021"
"8216","19/09/2021","19/10/2021"
"8217","19/09/2021","19/10/2021"
"8220","19/09/2021","19/10/2021"
"14464","24/02/2022","09/03/2022"
"1465","07/02/2020","09/12/2020"
"8422","23/09/2021","28/09/2021"
"8426","23/09/2021","28/09/2021"
"8427","23/09/2021","28/09/2021"
"8431","23/09/2021","28/09/2021"
"8433","23/09/2021","28/09/2021"
"8435","23/09/2021","28/09/2021"
"8438","23/09/2021","28/09/2021"
"8440","23/09/2021","28/09/2021"
"8453","23/09/2021","28/09/2021"
"8455","23/09/2021","28/09/2021"
"8459","23/09/2021","28/09/2021"
"8462","13/10/2021","14/10/2021"
"8465","23/09/2021","28/09/2021"
"8468","23/09/2021","28/09/2021"
"8470","23/09/2021","28/09/2021"
"8471","23/09/2021","28/09/2021"
"8747","12/10/2023","11/01/2024"
"32289","30/05/2022","30/09/2022"
"8902","24/11/2021","31/12/2021"
"8965","23/06/2022","25/07/2022"
"9005","23/06/2022","25/07/2022"
"45110","07/12/2022","13/12/2022"
"9196","12/10/2021","19/10/2021"
"9274","13/10/2021","14/10/2021"
"32479","31/05/2022","09/06/2022"
"9284","13/10/2021","15/11/2021"
"9389","08/04/2022","11/05/2022"
"9500","19/10/2021","22/10/2021"
"9505","19/10/2021","21/10/2021"
"9508","19/10/2021","21/10/2021"
"9515","19/10/2021","21/10/2021"
"9668","22/10/2021","25/10/2021"
"9669","22/10/2021","25/10/2021"
"9676","22/10/2021","25/10/2021"
"52746","06/06/2023","01/08/2023"
"9912","28/10/2021","29/10/2021"
"9984","03/11/2021","05/11/2021"
"10020","03/11/2021","08/11/2021"
"10126","05/11/2021","05/11/2021"
"10134","05/11/2021","08/11/2021"
"10174","08/11/2021","08/11/2021"
"10250","10/11/2021","15/11/2021"
"10254","10/11/2021","23/11/2021"
"10287","10/11/2021","23/11/2021"
"10405","16/11/2021","03/12/2021"
"10461","18/11/2021","19/11/2021"
"10658","29/11/2021","23/12/2021"
"10819","29/11/2021","01/12/2021"
"10820","29/11/2021","01/12/2021"
"10827","29/11/2021","01/12/2021"
"10860","30/11/2021","01/12/2021"
"10904","01/12/2021","02/12/2021"
"10918","01/12/2021","01/12/2021"
"56908","02/11/2023","06/12/2023"
"11032","01/02/2022","02/02/2022"
"11088","07/12/2021","07/12/2021"
"11122","08/04/2022","19/04/2022"
"11191","09/12/2021","13/05/2022"
"11231","10/12/2021","15/12/2021"
"11241","10/12/2021","14/12/2021"
"11243","10/12/2021","06/01/2022"
"9969","02/11/2021","02/11/2021"
"11414","16/12/2021","04/02/2022"
"63118","16/08/2024","16/08/2024"
"11435","17/12/2021","17/12/2021"
"11443","17/12/2021","17/12/2021"
"6186","21/06/2021","23/06/2021"
"3470","17/03/2021","24/03/2021"
"54654","07/08/2023","30/10/2023"
"11599","22/12/2021","23/12/2021"
"6469","01/07/2021","01/07/2021"
"2855","14/12/2020","21/12/2020"
"7490","27/08/2021","05/10/2021"
"6984","23/07/2021","16/08/2021"
"11727","28/12/2021","29/12/2021"
"5335","19/05/2021","20/05/2021"
"2470","01/10/2020","10/11/2020"
"11793","13/01/2022","13/01/2022"
"6995","26/07/2021","02/08/2021"
"11797","03/01/2022","11/01/2022"
"2692","18/11/2020","19/11/2020"
"2614","03/11/2020","18/02/2021"
"11808","03/01/2022","03/01/2022"
"11809","03/01/2022","03/01/2022"
"11816","03/01/2022","03/01/2022"
"11823","03/01/2022","03/01/2022"
"11824","03/01/2022","03/01/2022"
"11825","03/01/2022","03/01/2022"
"11828","03/01/2022","03/01/2022"
"11831","03/01/2022","03/01/2022"
"4659","27/04/2021","29/04/2021"
"6921","22/07/2021","06/09/2021"
"45113","20/12/2022","02/02/2023"
"11842","03/01/2022","26/01/2022"
"3824","29/03/2021","20/10/2021"
"12113","15/04/2022","19/04/2022"
"12336","17/01/2022","20/01/2022"
"12432","19/01/2022","20/01/2022"
"50856","12/04/2023","17/04/2023"
"12611","24/01/2022","16/02/2022"
"12669","24/01/2022","25/01/2022"
"54120","19/07/2023","28/09/2023"
"12752","26/01/2022","08/04/2022"
"12766","15/02/2022","01/04/2022"
"12868","27/01/2022","24/02/2022"
"12990","14/04/2023","02/06/2023"
"13008","01/03/2022","27/03/2022"
"13083","01/02/2022","04/02/2022"
"35748","07/07/2022","07/10/2022"
"13496","21/02/2022","22/02/2022"
"13694","14/02/2022","04/03/2022"
"13695","16/02/2022","21/02/2022"
"13881","16/02/2022","21/02/2022"
"13923","16/02/2022","21/02/2022"
"14396","23/02/2022","25/02/2022"
"14512","24/02/2022","27/03/2022"
"14638","01/03/2022","08/04/2022"
"14767","26/04/2022","05/05/2022"
"14770","01/03/2022","09/03/2022"
"37537","08/08/2022","14/11/2022"
"15531","07/03/2022","06/04/2022"
"53682","04/09/2023","26/10/2023"
"16136","09/03/2022","06/04/2022"
"41743","10/10/2022","14/11/2022"
"16202","09/03/2022","28/04/2022"
"40989","30/09/2022","03/10/2022"
"14556","24/02/2022","17/03/2022"
"26682","21/04/2022","28/04/2022"
"39639","10/10/2022","14/11/2022"
"38312","19/08/2022","01/09/2022"
"10977","02/12/2021","08/12/2021"
"21282","15/03/2022","16/03/2022"
"7307","18/08/2021","01/02/2022"
"11525","21/12/2021","05/05/2022"
"31974","24/05/2022","30/05/2022"
"12880","27/01/2022","05/05/2022"
"9473","19/10/2021","05/05/2022"
"10218","09/11/2021","05/05/2022"
"21587","02/12/2022","14/12/2022"
"14550","24/02/2022","05/05/2022"
"21617","17/03/2022","24/03/2022"
"5468","21/05/2021","05/05/2022"
"10098","04/11/2021","05/05/2022"
"54523","01/08/2023","01/08/2023"
"8935","05/10/2021","05/05/2022"
"934","15/10/2019","17/09/2020"
"13679","14/02/2022","23/02/2022"
"22760","25/03/2022","07/04/2022"
"14323","22/02/2022","23/02/2022"
"55159","30/08/2023","26/09/2023"
"13658","14/02/2022","17/02/2022"
"13947","17/02/2022","18/02/2022"
"14093","20/02/2022","22/02/2022"
"14315","22/02/2022","23/02/2022"
"24038","07/04/2022","13/04/2022"
"25679","14/04/2022","21/04/2022"
"14540","25/02/2022","01/03/2022"
"14759","01/03/2022","01/03/2022"
"39864","14/09/2022","14/04/2023"
"34240","22/06/2022","03/07/2022"
"13400","09/02/2022","05/05/2022"
"26942","25/04/2022","20/07/2022"
"27261","26/04/2022","01/09/2022"
"27296","26/04/2022","28/04/2022"
"27299","02/05/2022","16/05/2022"
"24635","08/04/2022","28/04/2022"
"29359","05/05/2022","11/05/2022"
"41011","30/09/2022","12/10/2022"
"39869","14/09/2022","15/09/2022"
"40394","23/09/2022","05/10/2022"
"54086","17/07/2023","25/08/2023"
"12876","28/02/2022","05/05/2022"
"21618","17/03/2022","24/03/2022"
"40292","22/09/2022","28/09/2022"
"31091","17/05/2022","22/06/2022"
"3368","05/03/2021","25/03/2021"
"31590","19/05/2022","24/05/2022"
"31605","19/05/2022","24/05/2022"
"31629","20/05/2022","03/06/2022"
"31679","20/05/2022","03/06/2022"
"31799","25/05/2022","30/05/2022"
"42010","19/10/2022","07/11/2022"
"32436","31/05/2022","03/07/2022"
"32562","01/07/2022","12/07/2022"
"43741","14/11/2022","05/12/2022"
"32716","08/08/2022","06/09/2022"
"32741","03/06/2022","03/06/2022"
"39943","04/11/2022","06/12/2022"
"35026","30/06/2022","03/07/2022"
"5863","09/06/2021","13/04/2022"
"8560","24/09/2021","13/04/2022"
"34262","22/06/2022","24/06/2022"
"34490","30/06/2022","03/07/2022"
"45199","08/12/2022","22/12/2022"
"54184","19/07/2023","09/08/2023"
"35023","30/06/2022","14/11/2022"
"35451","05/07/2022","20/07/2022"
"58765","31/01/2024","01/02/2024"
"36140","24/03/2023","26/04/2023"
"37019","01/08/2022","01/08/2022"
"36685","26/07/2022","17/08/2022"
"36686","26/07/2022","17/08/2022"
"36701","26/07/2022","17/08/2022"
"36851","28/07/2022","16/08/2022"
"36927","29/07/2022","06/09/2022"
"36965","29/07/2022","17/08/2022"
"36972","29/07/2022","06/09/2022"
"37245","02/08/2022","16/08/2022"
"37572","08/08/2022","16/08/2022"
"5630","01/06/2021","05/05/2022"
"37901","12/08/2022","06/12/2022"
"38043","17/08/2022","06/09/2022"
"8924","05/10/2021","05/05/2022"
"40620","08/02/2023","02/06/2023"
"38758","26/08/2022","06/09/2022"
"35024","30/06/2022","07/10/2022"
"38797","26/08/2022","06/09/2022"
"38881","24/01/2023","26/05/2023"
"39586","09/09/2022","15/11/2022"
"39710","12/09/2022","22/09/2022"
"40004","16/09/2022","01/03/2023"
"40015","16/09/2022","25/10/2023"
"40050","19/09/2022","22/09/2022"
"40110","19/09/2022","14/11/2022"
"25959","15/04/2022","20/05/2022"
"40505","26/09/2022","07/10/2022"
"40531","27/09/2022","15/11/2022"
"40554","26/09/2022","07/10/2022"
"40647","28/09/2022","14/11/2022"
"40649","27/09/2022","15/11/2022"
"50848","11/04/2023","01/06/2023"
"40729","27/09/2022","14/11/2022"
"40731","27/09/2022","13/12/2022"
"40786","28/09/2022","07/10/2022"
"40873","28/09/2022","14/11/2022"
"40874","08/02/2023","23/03/2023"
"40897","29/09/2022","06/03/2023"
"40963","29/09/2022","15/11/2022"
"40966","29/09/2022","15/11/2022"
"40994","30/09/2022","15/11/2022"
"41000","30/09/2022","14/11/2022"
"41015","30/09/2022","15/11/2022"
"41025","30/09/2022","15/11/2022"
"41077","30/09/2022","07/10/2022"
"41081","14/02/2023","30/05/2023"
"41095","30/09/2022","15/11/2022"
"41104","27/01/2023","10/02/2023"
"41106","03/10/2022","15/11/2022"
"41235","22/12/2022","03/03/2023"
"41300","04/10/2022","15/11/2022"
"41423","05/10/2022","06/12/2022"
"41512","06/10/2022","14/11/2022"
"41603","07/10/2022","14/11/2022"
"41881","12/10/2022","15/11/2022"
"41930","26/06/2023","07/08/2023"
"42328","18/10/2022","15/11/2022"
"42355","26/10/2022","15/11/2022"
"42429","19/10/2022","24/11/2022"
"42438","05/01/2023","09/01/2023"
"42444","19/10/2022","14/03/2023"
"42601","21/10/2022","08/12/2022"
"40937","29/09/2022","10/10/2022"
"42931","27/10/2022","29/03/2023"
"43011","28/10/2022","31/03/2023"
"43236","03/11/2022","27/02/2023"
"43297","03/11/2022","29/03/2023"
"15986","09/03/2022","05/05/2022"
"43642","10/11/2022","05/12/2022"
"7019","24/09/2021","05/05/2022"
"43882","15/11/2022","23/11/2022"
"43954","16/11/2022","08/12/2022"
"44014","17/11/2022","01/12/2022"
"44200","21/11/2022","28/11/2022"
"44234","21/11/2022","01/02/2023"
"22116","21/03/2022","31/03/2022"
"8504","24/09/2021","05/05/2022"
"44336","23/11/2022","24/11/2022"
"44337","23/11/2022","05/12/2022"
"44368","23/11/2022","23/11/2022"
"44443","24/11/2022","06/12/2022"
"44451","24/11/2022","21/02/2023"
"44599","28/11/2022","29/11/2022"
"44643","28/11/2022","29/11/2022"
"44654","29/11/2022","31/03/2023"
"44665","29/11/2022","27/01/2023"
"44795","01/12/2022","20/03/2023"
"44867","01/12/2022","05/12/2022"
"44972","05/12/2022","19/06/2023"
"54603","03/08/2023","07/08/2023"
"45033","13/12/2022","11/01/2023"
"45046","06/12/2022","07/12/2022"
"45064","06/12/2022","08/12/2022"
"45100","06/12/2022","21/12/2022"
"45144","07/12/2022","16/12/2022"
"45354","12/12/2022","13/03/2023"
"45372","13/12/2022","16/12/2022"
"45439","14/12/2022","15/11/2023"
"45444","14/12/2022","06/03/2023"
"45459","14/12/2022","15/12/2022"
"45722","20/12/2022","22/12/2022"
"45929","23/12/2022","10/01/2023"
"46043","27/12/2022","28/02/2023"
"7541","30/08/2021","07/10/2021"
"46389","05/01/2023","21/02/2023"
"46428","05/01/2023","28/02/2023"
"46512","25/01/2023","26/04/2023"
"47188","13/02/2023","20/03/2023"
"47249","23/01/2023","17/02/2023"
"47333","24/01/2023","24/01/2023"
"47341","31/01/2023","23/03/2023"
"47509","26/01/2023","02/02/2023"
"47519","26/01/2023","27/01/2023"
"47520","26/01/2023","27/01/2023"
"47634","30/01/2023","15/02/2023"
"47737","31/01/2023","21/07/2023"
"47771","01/02/2023","28/02/2023"
"47826","02/02/2023","02/02/2023"
"47897","03/02/2023","14/04/2023"
"48430","15/02/2023","21/03/2023"
"48781","22/12/2023","15/01/2024"
"48788","22/02/2023","05/04/2023"
"48930","27/02/2023","14/03/2023"
"48958","20/11/2023","19/12/2023"
"49006","01/03/2023","22/03/2023"
"43018","28/10/2022","29/11/2022"
"49156","06/03/2023","13/03/2023"
"49215","07/03/2023","08/03/2023"
"49219","07/03/2023","14/04/2023"
"49344","09/03/2023","17/03/2023"
"49405","10/03/2023","30/03/2023"
"49617","14/03/2023","20/04/2023"
"49643","15/03/2023","20/03/2023"
"49698","31/03/2023","12/04/2023"
"49721","16/03/2023","12/04/2023"
"49730","16/03/2023","27/07/2023"
"54940","08/09/2023","25/10/2023"
"49928","05/06/2023","27/07/2023"
"50032","28/03/2023","25/10/2023"
"50051","23/03/2023","28/03/2023"
"50057","28/03/2023","30/03/2023"
"40743","27/09/2022","30/09/2022"
"50100","23/03/2023","06/04/2023"
"50205","28/03/2023","13/04/2023"
"50261","28/03/2023","23/06/2023"
"50309","28/03/2023","26/07/2023"
"50475","18/04/2023","21/04/2023"
"50477","31/03/2023","13/04/2023"
"35044","30/06/2022","03/07/2022"
"50636","05/04/2023","22/06/2023"
"50923","13/04/2023","20/04/2023"
"50982","16/04/2023","19/04/2023"
"51011","17/04/2023","19/10/2023"
"51065","18/04/2023","20/04/2023"
"51073","18/04/2023","23/10/2023"
"51135","19/04/2023","01/06/2023"
"51185","20/04/2023","09/06/2023"
"51300","24/04/2023","03/05/2023"
"51372","26/04/2023","23/10/2023"
"2228","20/07/2020","26/10/2020"
"51506","02/05/2023","03/05/2023"
"40515","26/05/2023","27/06/2023"
"51560","03/05/2023","26/07/2023"
"51598","04/05/2023","16/05/2023"
"51782","10/05/2023","14/09/2023"
"51801","10/05/2023","09/11/2023"
"52067","16/05/2023","22/01/2024"
"52106","17/05/2023","25/09/2023"
"52255","23/05/2023","12/10/2023"
"38311","19/08/2022","01/09/2022"
"52358","08/06/2023","14/06/2023"
"52497","30/05/2023","17/08/2023"
"52506","30/05/2023","07/06/2023"
"52586","01/06/2023","09/06/2023"
"52782","11/09/2023","28/11/2023"
"53072","30/06/2023","19/07/2023"
"53113","16/06/2023","06/11/2023"
"53147","16/06/2023","01/08/2023"
"53306","21/06/2023","26/06/2023"
"57297","22/11/2023","23/11/2023"
"53474","27/06/2023","03/08/2023"
"53521","27/06/2023","17/07/2023"
"53548","28/06/2023","26/07/2023"
"55160","30/08/2023","08/09/2023"
"43319","04/11/2022","07/11/2022"
"55426","06/09/2023","20/09/2023"
"55507","10/10/2023","13/10/2023"
"55653","19/12/2023","11/01/2024"
"55704","14/09/2023","03/01/2024"
"55742","15/09/2023","15/09/2023"
"55778","05/10/2023","30/10/2023"
"55807","18/09/2023","29/09/2023"
"56085","28/09/2023","18/10/2023"
"56274","03/10/2023","04/10/2023"
"56304","05/10/2023","27/10/2023"
"56358","09/11/2023","18/12/2023"
"56363","09/10/2023","30/10/2023"
"33032","09/06/2022","09/06/2022"
"56436","04/01/2024","08/01/2024"
"56439","11/10/2023","04/12/2023"
"56604","19/10/2023","30/10/2023"
"56618","19/10/2023","30/10/2023"
"56662","20/10/2023","03/11/2023"
"56866","30/11/2023","30/11/2023"
"56879","31/10/2023","13/11/2023"
