"datapass_id","date_reception","date_last_event"
"6470","01/07/2021","01/07/2021"
"4389","16/04/2021","20/04/2021"
"6191","21/06/2021","23/06/2021"
"4388","16/04/2021","17/11/2021"
"13270","04/02/2022","08/02/2022"
"52396","25/05/2023","06/06/2023"
"1016","08/11/2019","01/10/2020"
"1098","21/11/2019","29/11/2019"
"1252","26/02/2020","10/04/2020"
"1323","08/01/2020","17/02/2020"
"1469","07/02/2020","11/06/2020"
"1561","03/03/2020","12/05/2020"
"11492","21/12/2021","18/03/2022"
"22796","25/03/2022","20/07/2022"
"3377","08/03/2021","23/11/2021"
"2345","02/10/2020","02/10/2020"
"2499","08/10/2020","15/12/2020"
"2532","13/10/2020","28/05/2021"
"2550","10/12/2020","08/04/2021"
"9701","24/10/2021","25/10/2021"
"2560","21/10/2020","26/10/2020"
"2561","21/10/2020","09/11/2020"
"2585","10/12/2020","08/04/2022"
"9702","24/10/2021","25/10/2021"
"53585","29/06/2023","19/07/2023"
"2617","23/02/2021","06/05/2021"
"53586","29/06/2023","06/07/2023"
"2647","10/11/2020","01/04/2021"
"9703","24/10/2021","28/10/2021"
"2659","12/11/2020","15/03/2021"
"2666","13/11/2020","19/11/2020"
"9706","24/10/2021","25/10/2021"
"2667","13/11/2020","22/03/2021"
"2698","26/11/2020","04/12/2020"
"2741","26/11/2020","28/05/2021"
"26908","23/04/2022","17/08/2022"
"3389","10/03/2021","17/12/2021"
"2776","30/11/2020","21/12/2020"
"9709","24/10/2021","25/10/2021"
"46414","05/01/2023","17/03/2023"
"2847","12/12/2020","12/02/2021"
"8182","17/09/2021","07/10/2022"
"2862","15/12/2020","15/10/2021"
"2864","15/12/2020","15/10/2021"
"9710","24/10/2021","25/10/2021"
"2902","24/12/2020","19/11/2021"
"2922","31/12/2020","16/12/2021"
"2933","05/01/2021","05/01/2021"
"9712","24/10/2021","25/10/2021"
"2941","12/01/2021","08/04/2021"
"9714","24/10/2021","25/10/2021"
"9726","24/10/2021","25/10/2021"
"2963","11/01/2021","21/01/2021"
"41372","05/10/2022","07/10/2022"
"2981","12/01/2021","08/04/2022"
"2983","12/01/2021","08/04/2022"
"3018","18/01/2021","22/06/2022"
"3026","19/01/2021","19/11/2021"
"3027","19/01/2021","19/11/2021"
"3032","20/01/2021","12/10/2021"
"3033","20/01/2021","16/12/2021"
"3048","22/01/2021","24/06/2022"
"3055","22/01/2021","22/01/2021"
"3081","26/01/2021","12/03/2021"
"3108","29/01/2021","25/02/2021"
"58922","06/02/2024","06/02/2024"
"3180","17/03/2021","19/03/2021"
"3209","10/02/2021","02/04/2021"
"3212","10/02/2021","15/04/2022"
"3239","16/02/2021","28/04/2022"
"3240","16/02/2021","17/12/2021"
"3251","17/02/2021","05/03/2021"
"3292","03/05/2021","08/12/2021"
"3295","03/05/2021","08/12/2021"
"3297","03/05/2021","08/12/2021"
"3336","04/03/2021","15/04/2022"
"44921","02/12/2022","08/12/2022"
"3337","03/03/2021","20/10/2021"
"3363","05/03/2021","24/06/2022"
"3518","17/03/2021","30/03/2021"
"3540","17/03/2021","01/04/2021"
"3541","17/03/2021","01/04/2021"
"3542","17/03/2021","22/03/2021"
"14319","22/02/2022","23/02/2022"
"3633","22/03/2021","26/10/2021"
"3666","12/01/2022","19/01/2022"
"3701","24/03/2021","24/03/2021"
"3704","24/03/2021","24/03/2021"
"3748","02/04/2021","26/04/2021"
"3769","26/03/2021","01/04/2021"
"3770","26/03/2021","30/11/2021"
"7301","18/08/2021","19/08/2021"
"7228","10/08/2021","16/09/2021"
"3885","31/03/2021","01/04/2021"
"3917","01/04/2021","06/04/2021"
"3931","02/04/2021","02/04/2021"
"3951","02/04/2021","06/04/2021"
"3952","02/04/2021","06/04/2021"
"3991","06/04/2021","07/04/2021"
"3992","06/04/2021","07/04/2021"
"4002","06/04/2021","07/04/2021"
"4022","07/04/2021","08/04/2021"
"55551","11/09/2023","29/09/2023"
"4030","07/04/2021","19/11/2021"
"4087","09/04/2021","12/04/2021"
"4088","09/04/2021","12/04/2021"
"4089","09/04/2021","14/04/2021"
"4099","12/04/2021","19/04/2021"
"4100","09/04/2021","13/04/2021"
"4102","12/04/2021","19/04/2021"
"4104","09/04/2021","12/04/2021"
"4108","09/04/2021","12/04/2021"
"4114","09/04/2021","12/04/2021"
"4116","09/04/2021","12/04/2021"
"4121","09/04/2021","12/04/2021"
"4122","09/04/2021","12/04/2021"
"4126","09/04/2021","13/04/2021"
"4131","09/04/2021","13/04/2021"
"4138","09/04/2021","13/04/2021"
"4146","09/04/2021","13/04/2021"
"4151","09/04/2021","13/04/2021"
"4155","09/04/2021","14/04/2021"
"4160","09/04/2021","14/04/2021"
"4163","09/04/2021","14/04/2021"
"4170","09/04/2021","14/04/2021"
"4173","09/04/2021","14/04/2021"
"4174","09/04/2021","14/04/2021"
"4178","09/04/2021","14/04/2021"
"4184","09/04/2021","15/04/2021"
"4189","09/04/2021","15/04/2021"
"4201","12/04/2021","04/02/2022"
"4213","14/04/2021","19/04/2021"
"40748","27/09/2022","12/10/2022"
"53798","06/07/2023","12/07/2023"
"4261","25/05/2021","21/06/2021"
"4268","25/05/2021","21/06/2021"
"4270","25/05/2021","21/06/2021"
"4272","25/05/2021","21/06/2021"
"4273","25/05/2021","21/06/2021"
"4274","25/05/2021","21/06/2021"
"4276","25/05/2021","21/06/2021"
"4280","06/05/2021","21/06/2021"
"4282","25/05/2021","21/06/2021"
"4437","19/04/2021","20/04/2021"
"4438","19/04/2021","20/04/2021"
"4440","20/04/2021","22/04/2021"
"4441","19/04/2021","20/04/2021"
"4458","20/04/2021","24/11/2021"
"2581","27/10/2020","09/11/2020"
"2714","20/11/2020","23/11/2020"
"44629","28/11/2022","01/12/2022"
"4485","26/04/2021","28/05/2021"
"37416","04/08/2022","01/09/2022"
"4579","23/04/2021","05/05/2021"
"40901","29/09/2022","30/09/2022"
"4639","26/04/2021","05/01/2022"
"4650","25/05/2021","21/06/2021"
"4665","01/09/2021","08/10/2021"
"4666","15/09/2021","08/10/2021"
"4668","15/09/2021","08/10/2021"
"4669","15/09/2021","08/10/2021"
"4674","15/09/2021","08/10/2021"
"4675","15/09/2021","08/10/2021"
"4677","15/09/2021","08/10/2021"
"4678","15/09/2021","08/10/2021"
"4681","01/09/2021","08/10/2021"
"4684","01/09/2021","08/10/2021"
"4686","01/09/2021","08/10/2021"
"4710","26/05/2021","21/06/2021"
"4711","26/05/2021","21/06/2021"
"40391","23/09/2022","28/09/2022"
"4756","29/04/2021","29/04/2021"
"4780","29/04/2021","26/11/2021"
"25227","12/04/2022","17/08/2022"
"49619","14/03/2023","31/03/2023"
"4976","04/05/2021","10/05/2021"
"4997","15/09/2021","08/10/2021"
"4999","15/09/2021","08/10/2021"
"5001","15/09/2021","08/10/2021"
"5002","15/09/2021","08/10/2021"
"5004","01/09/2021","08/10/2021"
"5008","15/09/2021","08/10/2021"
"5072","06/05/2021","06/05/2021"
"5117","10/05/2021","10/05/2021"
"35694","07/07/2022","29/08/2022"
"5245","17/05/2021","17/05/2021"
"5283","18/05/2021","01/06/2021"
"40962","29/09/2022","10/10/2022"
"41028","30/09/2022","10/10/2022"
"41692","10/10/2022","12/10/2022"
"5306","31/05/2021","31/05/2021"
"5368","25/06/2021","28/06/2021"
"5374","25/06/2021","28/06/2021"
"41078","30/09/2022","12/10/2022"
"5390","21/05/2021","18/10/2021"
"5391","25/06/2021","28/06/2021"
"5392","25/06/2021","28/06/2021"
"5393","25/06/2021","28/06/2021"
"5394","25/06/2021","28/06/2021"
"5398","25/06/2021","28/06/2021"
"5399","25/06/2021","28/06/2021"
"5407","25/06/2021","28/06/2021"
"5412","25/06/2021","28/06/2021"
"5413","25/06/2021","28/06/2021"
"5416","25/05/2021","25/06/2021"
"50756","07/04/2023","26/05/2023"
"4076","09/04/2021","20/04/2021"
"5430","25/06/2021","28/06/2021"
"5433","25/06/2021","28/06/2021"
"5437","25/06/2021","28/06/2021"
"5442","25/06/2021","28/06/2021"
"5444","28/06/2021","28/06/2021"
"5446","28/06/2021","28/06/2021"
"5448","28/06/2021","28/06/2021"
"5450","28/06/2021","28/06/2021"
"5455","28/06/2021","28/06/2021"
"5459","28/06/2021","28/06/2021"
"5463","28/06/2021","28/06/2021"
"52427","26/05/2023","18/07/2023"
"5634","01/06/2021","02/06/2021"
"5644","02/06/2021","04/06/2021"
"41059","30/09/2022","20/10/2022"
"42188","04/12/2022","13/12/2022"
"52430","06/06/2023","26/07/2023"
"42824","25/10/2022","14/11/2022"
"6033","16/06/2021","16/06/2021"
"6034","16/06/2021","16/06/2021"
"6042","16/06/2021","16/06/2021"
"6044","16/06/2021","16/06/2021"
"6045","16/06/2021","16/06/2021"
